City ID,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Dunedin,98,NZ,1659582037,59,-45.8742,170.5036,57.79,4.0
81,Laguna,0,US,1659581979,38,38.421,-121.4238,96.94,10.36
82,Isangel,75,VU,1659581917,79,-19.55,169.2667,84.31,2.3
83,Nouadhibou,15,MR,1659582086,88,20.931,-17.0347,70.45,11.1
84,Phan Thiet,100,VN,1659582086,65,10.9333,108.1,86.5,6.38
85,Albany,1,US,1659581884,67,42.6001,-73.9662,74.52,3.06
86,Faanui,17,PF,1659581889,75,-16.4833,-151.75,78.4,22.75
87,Vaini,75,TO,1659581893,89,-21.2,-175.2,80.76,10.36
88,Kamaishi,100,JP,1659581876,84,39.2667,141.8833,70.38,6.26
89,Kostelec nad Černými Lesy,10,CZ,1659582087,58,49.994,14.8592,67.12,4.21
90,Cape Town,75,ZA,1659581877,81,-33.9258,18.4232,55.81,10.36
91,Baruun-Urt,81,MN,1659582087,60,46.6806,113.2792,77.95,8.9
92,Sitka,98,US,1659581812,85,57.0531,-135.33,59.34,3.18
93,Nishihara,40,JP,1659581890,74,26.1842,127.7558,87.08,9.22
94,Vargashi,32,RU,1659582088,67,55.3556,65.8467,63.9,6.55
95,Barguzin,45,RU,1659582055,60,53.6167,109.6167,69.78,6.78
96,Batemans Bay,100,AU,1659581822,82,-35.7167,150.1833,61.11,9.01
97,Katherine,13,AU,1659582089,40,-14.4667,132.2667,89.92,3.44
98,Husavik,100,IS,1659581972,93,66.0449,-17.3389,42.42,17.94
99,Nikolskoye,12,RU,1659581872,91,59.7035,30.7861,62.8,5.03
100,Syumsi,100,RU,1659582089,78,57.1111,51.6149,65.46,2.33
101,Tambulig,99,PH,1659582090,77,8.0702,123.5348,83.8,2.51
102,Esperance,96,AU,1659582037,69,-33.8667,121.9,53.44,32.17
103,Port Alfred,31,ZA,1659581944,90,-33.5906,26.891,58.17,1.01
104,Vertou,0,FR,1659582090,78,47.1687,-1.4693,69.78,8.05
105,‘Āhuimanu,28,US,1659581962,75,21.4447,-157.8378,81.79,5.01
106,Praia,20,CV,1659582091,88,14.9215,-23.5087,77.54,5.75
107,Vallenar,2,CL,1659582091,72,-28.5708,-70.7581,53.44,3.38
108,Carnarvon,95,AU,1659581866,53,-24.8667,113.6333,66.65,14.29
109,Ushuaia,75,AR,1659581865,87,-54.8,-68.3,35.26,2.3
110,Saint-Joseph,28,RE,1659581966,81,-21.3667,55.6167,64.78,9.93
111,Kenai,100,US,1659582092,83,60.5544,-151.2583,71.02,7.9
112,Airai,75,TL,1659581879,37,-8.9266,125.4092,75.58,3.18
113,Port Elizabeth,0,ZA,1659581968,94,-33.918,25.5701,57.49,13.8
114,Severo-Kuril'sk,76,RU,1659581928,81,50.6789,156.125,56.35,7.16
115,Nyagan,9,RU,1659582092,48,62.1406,65.3936,69.85,5.5
116,Birao,100,CF,1659582093,98,10.2849,22.7882,69.03,5.08
117,Bathsheba,100,BB,1659582093,89,13.2167,-59.5167,82.06,16.91
118,Králíky,53,CZ,1659582094,77,50.0838,16.7605,65.35,1.88
119,Gijang,0,KR,1659582094,63,35.2442,129.2139,88.3,8.68
120,Samarai,13,PG,1659581910,81,-10.6167,150.6667,81.18,12.71
121,Sebastian,3,US,1659582094,59,35.1668,-94.2669,90.16,3.58
122,Fort Morgan,69,US,1659582054,30,40.2503,-103.8,81.95,9.15
123,Jiaozuo,0,CN,1659582095,57,35.2397,113.2331,92.89,5.37
124,Moose Factory,100,CA,1659581952,82,51.2585,-80.6094,59.0,10.36
125,Portland,0,US,1659582032,58,45.5234,-122.6762,77.99,8.01
126,Tambacounda,100,SN,1659582095,96,13.7539,-13.7586,74.14,6.31
127,Aromashevo,26,RU,1659582096,66,56.8602,68.6375,64.38,4.03
128,Castro,7,BR,1659581922,69,-24.7911,-50.0119,57.92,4.21
129,Il’inskiy,0,RU,1659582096,82,55.619,38.1182,63.3,4.47
130,Bernburg,32,DE,1659582097,45,51.8,11.7333,67.46,2.59
131,Chui,100,UY,1659581873,99,-33.6971,-53.4616,56.57,8.3
132,Kumluca,0,TR,1659582097,51,36.3703,30.2869,82.63,3.42
133,Caranavi,20,BO,1659582097,97,-15.8167,-67.55,62.1,3.02
134,Millinocket,27,US,1659582098,88,45.6573,-68.7098,64.42,4.27
135,Doha,73,QA,1659581829,49,25.2867,51.5333,96.78,5.75
136,Melfi,0,IT,1659582098,64,40.9965,15.6514,67.71,3.24
137,Koło,79,PL,1659582099,71,52.2002,18.6387,64.78,6.85
138,Vacha,93,RU,1659582099,79,55.8008,42.7706,64.54,2.62
139,Lodja,4,CD,1659581969,73,-3.4833,23.4333,69.93,0.34
140,Saint George,39,US,1659581827,37,37.1041,-113.5841,88.92,1.23
141,Puerto Madryn,58,AR,1659582100,55,-42.7692,-65.0385,45.9,10.4
142,Mīnāb,15,IR,1659582100,60,27.1467,57.0801,91.24,0.87
143,Cherskiy,100,RU,1659581965,85,68.75,161.3,43.93,10.49
144,Bethel,1,US,1659581880,84,41.3712,-73.414,75.76,2.55
145,Huesca,0,ES,1659582100,65,42.1362,-0.4087,77.11,4.61
146,Freeport,0,US,1659582101,79,40.6576,-73.5832,79.02,12.66
147,Chowchilla,0,US,1659582101,33,37.123,-120.2602,95.85,8.05
148,Hong Kong,100,HK,1659581920,91,22.2855,114.1577,79.25,5.99
149,Sittwe,81,MM,1659581882,77,20.15,92.9,84.9,13.27
150,Pakruojis,87,LT,1659582102,82,55.9667,23.8667,59.79,7.02
151,Saint Anthony,20,US,1659582102,66,45.0205,-93.218,73.15,11.5
152,Katsuura,100,JP,1659582085,79,35.1333,140.3,80.92,14.47
153,Ilulissat,100,GL,1659581983,71,69.2167,-51.1,45.54,6.31
154,Leningradskiy,100,RU,1659582103,93,69.3833,178.4167,40.96,4.88
155,Dikson,95,RU,1659581916,95,73.5069,80.5464,45.54,8.57
156,Falmouth,20,GB,1659582103,94,50.1544,-5.0711,63.5,3.44
157,Ancud,100,CL,1659581941,72,-41.8697,-73.8203,41.23,6.6
158,Tiksi,93,RU,1659581903,79,71.6872,128.8694,43.56,2.84
159,La Ronge,100,CA,1659582019,60,55.1001,-105.2842,56.75,3.6
160,Bud,51,US,1659581977,82,39.447,-86.1758,79.47,6.6
161,Foki,5,RU,1659582104,70,56.693,54.3499,63.97,3.42
162,Lagoa,22,PT,1659581926,89,39.05,-27.9833,74.01,4.12
163,Maniitsoq,100,GL,1659582105,93,65.4167,-52.9,45.86,11.95
164,Shimoda,81,JP,1659581912,86,34.6667,138.95,79.16,7.18
165,Lebu,90,CL,1659581903,89,-37.6167,-73.65,48.22,10.16
166,Clyde River,100,CA,1659581947,100,70.4692,-68.5914,39.43,11.5
